Codigo,Espacialidades,UF,PercentDe25AnosOuMaisComSuperiorCompleto1991,PercentDe25AnosOuMaisComSuperiorCompleto2000,PercentDe25AnosOuMaisComSuperiorCompleto2010,ExpectativaDeAnosDeEstudo1991,ExpectativaDeAnosDeEstudo2000,ExpectativaDeAnosDeEstudo2010
350230,Anhembi,SP,1.52,3.11,6.79,9.28,10,10.19
350240,Anhumas,SP,3.39,3.08,7.18,9.06,9.5,10.35
520130,Anicuns,GO,1.17,2.38,7.09,7.76,8.77,10.47
220070,Anisio de Abreu,PI,,0.37,5.06,6.04,7.84,9.11
420100,Anita Garibaldi,SC,1.3,2.66,8.69,9.46,9.76,9.45
420110,Anitapolis,SC,0.66,1.19,5.35,9.26,8.51,7.44
130010,Anori,AM,0.75,0.71,3.86,7.2,4.97,7.27
430070,Anta Gorda,RS,1.43,3,3.89,11.55,11.1,10.37
290160,Antas,BA,,0.22,1.48,5.06,7.83,8.55
230080,Antonina do Norte,CE,,0.38,3,6.33,7.47,9.39
410120,Antonina,PR,2.62,3.33,5.92,8.63,8.95,9.95
220080,Antonio Almeida,PI,,0.57,8.13,7.25,6.95,10.34
290170,Antonio Cardoso,BA,,0.23,1.1,5.41,6.61,8.06
310290,Antonio Carlos,MG,2.11,4.35,5.64,6.93,8.83,8.84
420120,Antonio Carlos,SC,0.82,1.23,5.68,9.24,10.16,10.55
310300,Antonio Dias,MG,0.54,1.16,3.3,7.56,8.79,9.86
290180,Antonio Goncalves,BA,0.3,0.14,2.81,4.85,7.02,8.32
500090,Antonio Joao,MS,0.82,1.91,6.38,8.33,9.07,9.81
240090,Antonio Martins,RN,0.36,0.78,3.12,6.04,7.38,8.73
410130,Antonio Olinto,PR,0.14,0.89,3.41,8.59,10.27,10.98
310310,Antonio Prado de Minas,MG,3.51,1.18,7.7,8.63,8.62,9.99
430080,Antonio Prado,RS,2.99,3.81,8.69,10.64,11.06,10.56
520140,Aparecida de Goiania,GO,1.72,1.89,7.3,7.59,8.99,9.31
350260,Aparecida D'Oeste,SP,3.09,4.71,7.6,9.54,10.23,11.48
520145,Aparecida do Rio Doce,GO,,1.41,7.43,4.74,8.2,7.57
170110,Aparecida do Rio Negro,TO,0.55,0.07,4.72,6.64,8.61,10.01
500100,Aparecida do Taboado,MS,3.47,4.82,9.69,9.69,10.08,9.34
250077,Aparecida,PB,0.7,0.97,2.62,5.74,6.33,9.09
350250,Aparecida,SP,6.21,7.7,12.82,10.02,10.18,10.5
330015,Aperibe,RJ,1.16,3.21,5.94,8.23,9.12,8.95
320050,Apiaca,ES,2.19,2.99,5.52,9.05,8.43,8.8
510080,Apiacas,MT,1.22,0.99,4.15,7.88,7.86,8.98
350270,Apiai,SP,3.51,4.26,6.42,9.49,10.02,10.82
210083,Apicum-Acu,MA,,0.16,2.48,5.16,6.13,9.68
420125,Apiuna,SC,0.26,1.43,6.07,9.17,7.89,10.23
240100,Apodi,RN,1.53,1.69,5.42,6.04,8.77,9.58
290190,Apora,BA,,0.45,2.49,4.9,6.76,7.66
520150,Apore,GO,3.16,2.34,5.86,7.09,8.85,9.06
290195,Apuarema,BA,0.13,,1.63,3.78,7.79,8.11
410140,Apucarana,PR,6.57,7.85,11.53,10.23,10.45,10.82
130014,Apui,AM,,0.61,4.06,6.02,6.35,8.74
230090,Apuiares,CE,0.08,0.26,4.21,5.43,8.48,10.63
280020,Aquidaba,SE,0.23,1.35,3.97,6.24,6.68,8.63
500110,Aquidauana,MS,3.96,5.91,10.05,8.11,8.62,9.55
230100,Aquiraz,CE,0.22,1.26,4.09,5.2,7.92,9.05
420127,Arabuta,SC,0.4,0.97,5.39,10.69,10.27,10.73
250080,Aracagi,PB,0.34,1.3,3.07,5.38,5.59,8.13
310320,Aracai,MG,2.11,3.31,7.82,8.8,8.3,10.54
280030,Aracaju,SE,8.94,11.09,19.2,7.93,8.79,9.76
350275,Aracariguama,SP,1.43,3.31,7.47,7.68,8.57,9.99
290205,Aracas,BA,0.32,0.76,1.51,4.51,5.38,7.92
230110,Aracati,CE,1.57,1.97,5.38,6.86,9.08,10.39
290200,Aracatu,BA,0.95,0.25,1.97,4.12,6.08,8.87
350280,Aracatuba,SP,9.74,12.3,15.88,9.91,10.85,11.08
290210,Araci,BA,0.19,0.28,2.05,2.2,4.91,6.94
310330,Aracitaba,MG,0.26,1.42,4.49,7.54,8.63,8.55
230120,Aracoiaba,CE,0.52,0.27,3.78,6.08,8.46,9.46
350290,Aracoiaba da Serra,SP,5.37,6.3,10.25,8.99,9.69,11.47
260105,Aracoiaba,PE,,0.56,1.61,5.2,7.03,9.16
320060,Aracruz,ES,3.29,4.39,9.28,9.46,10.22,10.26
310340,Aracuai,MG,1.13,2.9,5.24,7.28,8.77,9.59
520160,Aracu,GO,0.34,0.78,4.77,8.07,10.2,9.34
520170,Aragarcas,GO,1.61,3.48,7.89,8.1,9.07,10.56
520180,Aragoiania,GO,1.35,1.49,5.58,8.45,8.62,9.11
170130,Aragominas,TO,,0.35,4.47,8,6.45,9.2
170190,Araguacema,TO,1.52,1.24,6.59,6.14,6.95,10.12
170200,Araguacu,TO,1.04,1.4,6.4,7.82,8.85,9.92
510100,Araguaiana,MT,1.06,2.17,7.49,6.94,9.16,9.99
170210,Araguaina,TO,2.51,4.49,11.45,7.63,8.92,10.05
510120,Araguainha,MT,2.44,,9.1,8.65,10.38,10.83
210087,Araguana,MA,,0.12,1.34,3.39,4.95,9.47
170215,Araguana,TO,,2.18,6.08,5.06,5.78,9.89
520215,Araguapaz,GO,0.22,1.55,4.17,7.16,8.35,10.64
310350,Araguari,MG,4.8,6.63,10.77,9.59,10.42,10.02
170220,Araguatins,TO,0.49,1.89,7.29,7.16,7.07,9.62
210090,Araioses,MA,0.18,0.22,2.68,2.5,4.21,8.91
500124,Aral Moreira,MS,1.43,2.19,5.13,6.5,8.29,8.98
290220,Aramari,BA,0.16,0.89,3.35,4.89,5.94,7.48
430085,Arambare,RS,0.49,2.17,5.19,8.85,10.3,9.96
210095,Arame,MA,0.24,0.4,2.86,3.68,3.94,6.87
350300,Aramina,SP,5.76,5.5,8.08,9.77,9.8,8.56
350310,Arandu,SP,1.05,3.13,4.38,9.2,9.71,8.64
310360,Arantina,MG,3.77,2.86,7.72,9.19,11.26,8.79
350315,Arapei,SP,1.02,3.75,3.99,8.33,9.87,9.83
270030,Arapiraca,AL,2.49,3.14,6.2,6.67,7.56,9.61
170230,Arapoema,TO,,1.82,6.75,6.92,6.61,9.91
310370,Araponga,MG,0.19,1.07,2.84,5.36,6.96,7.86
410150,Arapongas,PR,5.4,6.09,10.85,10.59,10.46,10.64
310375,Arapora,MG,2.1,3.21,7.78,7.59,8.39,8.74
410160,Arapoti,PR,3.57,3.52,7.9,9.18,9.56,10.28
310380,Arapua,MG,2.38,4.97,5.28,9.98,9.78,10.68
410165,Arapua,PR,,1.63,4.49,7.64,10.4,8.8
510125,Araputanga,MT,2.51,2.17,6.53,8.75,9.65,9.47
420130,Araquari,SC,1.78,2.81,4.47,9.17,9.03,9.48
420140,Ararangua,SC,3.97,4.87,9.72,10.55,10.33,11.04
250090,Arara,PB,0.45,0.48,2.91,4.65,6.6,8.66
350320,Araraquara,SP,9.73,12.53,17.54,9.88,10.71,10.85
350330,Araras,SP,6.44,7.61,13.72,9.67,10.17,10.15
230125,Ararenda,CE,,1.77,2.69,5.69,8.66,9.77
430087,Ararica,RS,0.37,1.42,2.22,7.2,8.96,9.18
210100,Arari,MA,0.32,0.84,2.41,6.6,7.02,9.4
230130,Araripe,CE,1.76,0.71,2.96,4.56,7.3,9.12
260110,Araripina,PE,2.3,4.34,6.12,6.33,5.74,8.39
330020,Araruama,RJ,3.16,4.11,10.27,6.4,7.56,8.84
250100,Araruna,PB,0.83,1.59,2.81,4.63,5.99,9.56
410170,Araruna,PR,1.73,2.49,5.67,9.55,9.11,10.77
290225,Arataca,BA,0.24,0.46,0.93,2.21,6.39,7.71
430090,Aratiba,RS,2.8,2.67,4.76,10.34,11.22,10.73
230140,Aratuba,CE,0.64,0.56,4.05,3.46,8.83,9.98
290230,Aratuipe,BA,0.08,0.42,2.54,4.05,6.51,7.43
280040,Araua,SE,,0.67,2.87,6.2,7.62,9.8
